binary_package	binary_version	source_package	source_version
librsvg2-2	2.54.7+dfsg-1~deb12u1	librsvg	2.54.7+dfsg-1~deb12u1
librtmp1	2.4+20151223.gitfa8646d.1-2+b2	rtmpdump	2.4+20151223.gitfa8646d.1-2
libsasl2-2	2.1.28+dfsg-10	cyrus-sasl2	2.1.28+dfsg-10
libsasl2-modules-db	2.1.28+dfsg-10	cyrus-sasl2	2.1.28+dfsg-10
libseccomp2	2.5.4-1+deb12u1	libseccomp	2.5.4-1+deb12u1
libsecret-1-0	0.20.5-3	libsecret	0.20.5-3
libsecret-1-dev	0.20.5-3	libsecret	0.20.5-3
libselinux1	3.4-1+b6	libselinux	3.4-1
libselinux1-dev	3.4-1+b6	libselinux	3.4-1
libsemanage2	3.4-1+b5	libsemanage	3.4-1
libsensors5	1:3.6.0-7.1	lm-sensors	1:3.6.0-7.1
libsepol-dev	3.4-2.1	libsepol	3.4-2.1
libsepol2	3.4-2.1	libsepol	3.4-2.1
libsm-dev	2:1.2.3-1	libsm	2:1.2.3-1
libsm6	2:1.2.3-1	libsm	2:1.2.3-1
libsmartcols1	2.38.1-5+deb12u3	util-linux	2.38.1-5+deb12u3
libsndfile1	1.2.0-1+deb12u1	libsndfile	1.2.0-1+deb12u1
libsqlite3-0	3.40.1-2+deb12u2	sqlite3	3.40.1-2+deb12u2
libsqlite3-dev	3.40.1-2+deb12u2	sqlite3	3.40.1-2+deb12u2
